ID,AUI,CUI,CODE,TTY,TERM
2134,A35442690,C0269993,10042576,LLT,"suppressed lactation"
2175,A25688604,C0086438,10054427,LLT,"hypogammaglobulinemia"
2188,A25688617,C0239836,10054530,LLT,"paresthesia hand"
2208,A0121925,C0039070,10042772,PT,"syncope"
2225,A1581522,C0852192,10003550,HT,"asthenic conditions"
2311,A0277762,C0162283,10029147,PT,"nephrogenic diabetes insipidus"
2355,A17034050,C2721733,10069665,PT,"mesenteritis"
2381,A25747441,C0242339,10058110,LLT,"dyslipidemia"
2443,A0987913,C0406650,10024515,PT,"linear iga disease"
2551,A25688728,C0235437,10055400,LLT,"dependent edema"
2579,A25688732,C0013369,10055411,LLT,"diarrhea infectious"
2594,A1890446,C1527311,10048962,PT,"brain oedema"
2608,A0420440,C0018839,10019332,PT,"heat exhaustion"
2835,A1890411,C0877314,10049803,PT,"blood glucose fluctuation"
2857,A0033041,C0006325,10006514,PT,"bruxism"
2863,A1890421,C0877517,10049471,PT,"blood phosphorus decreased"
2911,A17034118,C0836924,10043563,PT,"thrombocytosis"
2916,A28943895,C0263449,10034541,PT,"perioral dermatitis"
2957,A28943861,C3887532,10080913,LLT,"ulceration"
2975,A28943845,C4552483,10080779,LLT,"absssi"
3031,A25688869,C0010417,10056600,LLT,"cryptorchidism"
3037,A1595997,C0851358,10027433,OS,"metabolism and nutrition disorders"
3056,A0131509,C0008049,10046980,PT,"varicella"
3061,A1595972,C0025061,10027072,HT,"mediastinal disorders"
3110,A2397071,C1142166,10059027,PT,"brugada syndrome"
3171,A0806940,C0857305,10043561,PT,"thrombocytopenic purpura"
3231,A25747672,C1167981,10059948,LLT,"pharyngeal hypoesthesia"
3232,A25747670,C1168343,10059933,LLT,"numbness throat"
3280,A1890529,C0007280,10048777,PT,"carotid bruit"
3282,A1890527,C0876994,10048610,PT,"cardiotoxicity"
3295,A25747659,C0473237,10059823,LLT,"macroscopic hematuria"
3320,A1890546,C0877064,10048824,PT,"cerebral ventricle dilatation"
3358,A12056474,C0002994,10002424,PT,"angioedema"
3375,A12056487,C1868790,10067068,PT,"intranasal hypoaesthesia"
3420,A1282892,C0343378,10054272,PT,"helicobacter gastritis"
3467,A0816276,C0595862,10047141,PT,"vasodilatation"
3470,A25688927,C0424323,10057073,LLT,"violent behavior"
3474,A1595893,C0021053,10021428,OS,"immune system disorders"
3485,A12056502,C0242698,10049694,PT,"left ventricular dysfunction"
3486,A12056500,C0150450,10001854,PT,"altered state of consciousness"
3501,A0131643,C1456863,10047139,PT,"vasoconstriction"
3614,A1595807,C0017178,10017947,OS,"gastrointestinal disorders"
3632,A0023867,C0002957,10002368,PT,"anger"
3849,A0566969,C0025222,10027141,PT,"melaena"
3950,A2309147,C1112478,10056344,PT,"menstrual discomfort"
4020,A0052412,C0013491,10014080,PT,"ecchymosis"
4101,A2397706,C0242379,10058467,PT,"lung neoplasm malignant"
4105,A0796046,C0152029,10040742,PT,"sinus congestion"
4107,A0796042,C0541782,10040738,PT,"sinus arrest"
4124,A1287482,C0037278,10040872,PT,"skin infection"
4136,A0390597,C0233795,10002711,PT,"anterograde amnesia"
4143,A7160848,C0035078,10038435,PT,"renal failure"
4160,A7160859,C0277638,10063746,PT,"accidental death"
4200,A0640114,C0035222,10001052,PT,"acute respiratory distress syndrome"
4254,A0389651,C4316895,10002199,PT,"anaphylactic shock"
4394,A1576603,C0281774,10001022,PT,"acute psychosis"
4432,A2397662,C1141907,10057977,PT,"lactate pyruvate ratio increased"
4433,A2853552,C0438142,10062226,PT,"urine analysis abnormal"
4542,A2397607,C0542120,10057880,PT,"injection site nodule"
4552,A25698531,C1760428,10065607,LLT,"suicidal behavior"
4584,A33446899,C0340359,10036984,PT,"prosthetic valve endocarditis"
4589,A0904272,C0151601,10010726,PT,"conjunctival oedema"
4594,A0904266,C0009760,10010719,PT,"conjunctival haemorrhage"
4622,A32653138,C0011881,10084917,LLT,"diabetic kidney disease"
4627,A2309059,C0278097,10057672,PT,"male sexual dysfunction"
4714,A0894351,C0403639,10056874,PT,"chemical cystitis"
4733,A25733385,C2937350,10000128,LLT,"abnormal ejaculation"
4755,A25733353,C4049211,10076702,PT,"secondary tic"
4799,A25733338,C0038363,10002959,PT,"aphthous ulcer"
4810,A25708372,C2945695,10077142,LLT,"limb ischemia"
4820,A1576528,C0023449,10000846,PT,"acute lymphocytic leukaemia"
4826,A2853450,C1262018,10060872,PT,"transplant failure"
4960,A25698631,C0684275,10066439,LLT,"hemophilia"
4991,A25708545,C0003862,10000449,LLT,"aching joints"
5020,A2853826,C0006145,10061021,PT,"breast disorder"
5052,A25684031,C0917798,10008121,LLT,"cerebral ischemia"
5102,A0052693,C0013595,10014184,PT,"eczema"
5175,A33446777,C0546817,10067656,LLT,"volume overload"
5227,A10926151,C0085129,10066091,PT,"bronchial hyperreactivity"
5234,A0008050,C0041343,10054824,PT,"tubo-ovarian abscess"
5290,A0448629,C0032914,10036485,PT,"pre-eclampsia"
5330,A1263293,C0151564,10009848,PT,"cogwheel rigidity"
5347,A0400630,C0008031,10008479,PT,"chest pain"
5353,A0556161,C0018418,10018800,PT,"gynaecomastia"
5355,A0399232,C0018790,10007515,PT,"cardiac arrest"
5438,A2397458,C0919661,10058155,PT,"heart alternation"
5442,A0111507,C3887611,10038743,PT,"restlessness"
5450,A2853774,C0018939,10061590,PT,"blood disorder"
5492,A25698753,C0948343,10067445,LLT,"trali"
5498,A25684105,C0264716,10008908,LLT,"chronic heart failure"
5519,A25708652,C0001175,10001509,LLT,"aids"
5596,A27874272,C0038586,10079384,PT,"substance use disorder"
5652,A25684122,C0024117,10009026,LLT,"chronic obstructive airways disease"
5673,A25698767,C0740409,10067568,LLT,"psychotic behavior"
5711,A27345803,C1406282,10078424,PT,"retroperitonitis"
5715,A0062167,C0017150,10017852,PT,"gastrinoma"
5768,A1591893,C0852733,10010144,PT,"completed suicide"
5790,A1576356,C0264714,10007556,PT,"cardiac failure acute"
5805,A1601762,C2711227,10019708,PT,"hepatic steatosis"
5839,A0389767,C0002962,10002383,PT,"angina pectoris"
5864,A2397384,C1142499,10059024,PT,"gastrointestinal toxicity"
5885,A1591900,C0429098,10014377,PT,"electrocardiogram qrs complex"
5894,A25733549,C0020517,10001738,LLT,"allergy"
5909,A0640040,C0023487,10001019,PT,"acute promyelocytic leukaemia"
5974,A0400581,C0221264,10008418,PT,"cheilosis"
5994,A25708597,C0023467,10000878,LLT,"acute myeloblastic leukemia"
5999,A25708594,C0023449,10000845,LLT,"acute lymphoblastic leukemia"
6004,A25733518,C0001807,10001494,LLT,"aggressiveness"
6008,A0811852,C0041364,10045170,PT,"tumour lysis syndrome"
6017,A25733721,C0022408,10003416,LLT,"arthrosis"
6039,A25733733,C0151904,10003544,LLT,"ast increased"
6094,A1013910,C0425979,10029827,PT,"nulliparous"
6122,A0963174,C2364082,10050515,PT,"hyposmia"
6231,A1576182,C0240671,10000636,PT,"activated partial thromboplastin time prolonged"
6344,A1576246,C0234632,10047531,PT,"visual acuity reduced"
6346,A0424872,C4551520,10022520,PT,"intention tremor"
6444,A32653417,C0025323,10027313,LLT,"menorrhagia"
6446,A32653418,C0025874,10027514,LLT,"metrorrhagia"
6464,A0424834,C0021655,10022489,PT,"insulin resistance"
6481,A2853107,C0919714,10062108,PT,"retinal vascular thrombosis"
6494,A25743008,C0235996,10014481,LLT,"elevated liver enzymes"
6504,A2853101,C0877203,10062106,PT,"respiratory tract infection viral"
6558,A25733675,C0002874,10002969,LLT,"aplastic anemia"
6575,A0448813,C0033046,10036618,PT,"premenstrual syndrome"
6588,A25733641,C0003128,10002658,LLT,"anovulation"
6674,A25708885,C0242528,10003886,LLT,"azotemia"
6701,A25733850,C0311468,10004690,LLT,"bilirubin increased"
6761,A25718227,C0151610,10014257,LLT,"edema tongue"
6768,A0076965,C0022568,10023332,PT,"keratitis"
6824,A2309459,C0521591,10057372,PT,"paraesthesia oral"
6881,A1591695,C0262428,10009905,PT,"collagen-vascular disease"
6892,A1576065,C0234894,10012432,PT,"dermatitis acneiform"
6895,A32653559,C0025874,10013908,LLT,"dysfunctional uterine bleeding"
6896,A0086367,C0025958,10027534,PT,"microcephaly"
6910,A0938031,C0427055,10051267,PT,"facial paresis"
7012,A32653541,C0025323,10085423,PT,"heavy menstrual bleeding"
7036,A2853011,C0919924,10061924,PT,"pulmonary toxicity"
7094,A32653513,C0025874,10022559,PT,"intermenstrual bleeding"
7096,A0390951,C0003486,10002882,PT,"aortic aneurysm"
7148,A0037442,C0007971,10008417,PT,"cheilitis"
7176,A2853004,C0855775,10061922,PT,"pulmonary function test decreased"
7194,A25743120,C1291747,10015518,LLT,"estrogen increased"
7196,A0399318,C0007177,10007610,PT,"cardiac tamponade"
7209,A2397984,C1141882,10057869,PT,"pharyngitis bacterial"
7211,A25698956,C1262018,10069030,LLT,"graft failure"
7229,A25718137,C0022658,10013263,LLT,"disorder renal"
7273,A0121213,C0038814,10042496,PT,"sunburn"
7286,A25718152,C0012797,10013523,LLT,"diuresis"
7291,A25718151,C3714614,10013482,LLT,"distention"
7319,A0111950,C0035410,10039020,PT,"rhabdomyolysis"
7398,A25718355,C4551761,10015595,LLT,"excessive daytime sleepiness"
7404,A32653269,C1319851,10029818,LLT,"nuclear magnetic resonance imaging brain abnormal"
7432,A25684451,C0311394,10012794,LLT,"difficulty in walking"
7445,A0796242,C0152459,10040925,PT,"skin striae"
7461,A25733900,C0456909,10005161,LLT,"blind"
7493,A0796227,C0151799,10040893,PT,"skin necrosis"
7498,A25708995,C0312422,10004983,LLT,"blackout spell"
7501,A25708994,C0312422,10004982,LLT,"blackout"
7511,A1047541,C0236024,10034829,PT,"pharyngeal oedema"
7523,A0796214,C0151514,10040799,PT,"skin atrophy"
7530,A0796281,C0037299,10040943,PT,"skin ulcer"
7589,A0086493,C0026010,10027548,PT,"microphthalmos"
7639,A32653255,C3650625,10085424,PT,"abnormal uterine bleeding"
7752,A7160656,C0085593,10008531,PT,"chills"
7786,A1601428,C0237314,10019304,PT,"heart rate irregular"
7791,A0458451,C0037188,10040736,PT,"sinoatrial block"
7793,A1601420,C0039231,10019303,PT,"heart rate increased"
7808,A0458465,C0003813,10040739,PT,"sinus arrhythmia"
7832,A0458478,C0039239,10040752,PT,"sinus tachycardia"
7849,A7160665,C0011609,10013687,PT,"drug eruption"
7926,A25743258,C0021400,10016793,LLT,"flu syndrome"
7931,A2397883,C1141938,10058117,PT,"ocular icterus"
7969,A0399600,C0017531,10050251,PT,"castleman's disease"
8051,A0556654,C0018965,10018867,PT,"haematuria"
8056,A25718457,C0751495,10016843,LLT,"focal seizures"
8062,A25718453,C0392171,10016797,LLT,"flu-like symptoms"
8091,A25743410,C0018021,10018491,LLT,"goiter"
8106,A0556632,C0018926,10018830,PT,"haematemesis"
8136,A25684578,C0013390,10013934,LLT,"dysmenorrhea"
8195,A25718418,C0015914,10016473,LLT,"fertilization"
8231,A28943199,C4552199,10080606,PT,"systemic toxicity"
8250,A28943188,C0008312,10080429,PT,"primary biliary cholangitis"
8311,A0556684,C0019079,10018964,PT,"haemoptysis"
8332,A0410368,C0014173,10014755,PT,"endometrial hyperplasia"
8351,A20921864,C1619738,10065042,PT,"immune reconstitution inflammatory syndrome"
8361,A28943245,C3267084,10072262,LLT,"aria-e"
8368,A2853296,C0037928,10061367,PT,"spinal cord disorder"
8369,A20921855,C3495884,10072599,PT,"amyloid related imaging abnormalities"
8371,A20921853,C3495801,10072579,PT,"granulomatosis with polyangiitis"
8404,A33952047,C4285910,10078293,LLT,"obstructive sleep apnea hypopnea syndrome"
8432,A0243817,C0036980,10007625,PT,"cardiogenic shock"
8441,A1601334,C0236061,10019152,PT,"haptoglobin increased"
8480,A25743365,C0232459,10017949,LLT,"gastrointestinal disturbance"
8483,A25684507,C0234972,10013208,LLT,"disorder convulsive"
8484,A25743367,C0017181,10017960,LLT,"gastrointestinal hemorrhage"
8492,A2853216,C1175175,10061982,PT,"severe acute respiratory syndrome"
8511,A0448914,C0233718,10036649,PT,"pressure of speech"
8535,A25743362,C0017181,10017936,LLT,"gastrointestinal bleeding"
8668,A25732886,C0521654,10074237,LLT,"neurological impairment"
8692,A25683388,C0151849,10001675,LLT,"alkaline phosphatase increased"
8768,A25717201,C0004153,10003601,LLT,"atherosclerosis"
8839,A0126375,C0040264,10043882,PT,"tinnitus"
8853,A0067526,C0019196,10019744,PT,"hepatitis c"
8903,A0067596,C0019209,10019842,PT,"hepatomegaly"
8935,A8575001,C1619702,10064687,PT,"device related infection"
8976,A8575020,C1399774,10064503,PT,"excessive skin"
8981,A8575022,C1608945,10064579,PT,"exfoliative rash"
9150,A2309984,C1112320,10057040,PT,"temperature intolerance"
9189,A25683317,C0085281,10001125,LLT,"addiction"
9370,A10925348,C1739366,10066044,PT,"injection site papule"
9401,A25717349,C0151529,10005138,LLT,"bleeding time increased"
9412,A25717336,C0699885,10005014,LLT,"bladder carcinoma"
9447,A25717302,C0008370,10004673,LLT,"biliary stasis"
9449,A25717304,C0311468,10004688,LLT,"bilirubin elevated"
9517,A2309813,C0035243,10024970,HG,"respiratory tract infections"
9529,A8575138,C1608954,10064774,PT,"infusion site extravasation"
9592,A8575177,C1609508,10064804,PT,"ligamentitis"
9648,A25742254,C0006434,10006634,LLT,"burn"
9667,A1585424,C0344232,10047513,PT,"vision blurred"
9668,A25742240,C0151539,10006576,LLT,"bun increased"
9674,A25742237,C0235818,10006559,LLT,"bullous eruption"
9682,A25742234,C0009938,10006502,LLT,"bruise"
9809,A0679022,C1761613,10051625,PT,"conjunctival hyperaemia"
9814,A1575929,C0235416,10005861,PT,"blood uric acid increased"
9897,A32653692,C0024301,10085128,PT,"follicular lymphoma"
9910,A0440767,C0028840,10030043,PT,"ocular hypertension"
9936,A0450118,C0034091,10037458,PT,"pulmonary veno-occlusive disease"
10023,A8575264,C1609515,10064980,PT,"neutralising antibodies positive"
10055,A8575286,C1610049,10064578,PT,"application site exfoliation"
10109,A28579957,C4523892,10079681,PT,"masked fever"
10290,A28579962,C3277906,10079751,PT,"cardiac dysfunction"
10378,A1286885,C0400877,10054048,PT,"postoperative ileus"
10416,A0450056,C0034065,10037377,PT,"pulmonary embolism"
10421,A25742542,C0812387,10009871,LLT,"coldness"
10431,A27346274,C3698497,10078540,LLT,"cording"
10500,A0450070,C0034069,10037383,PT,"pulmonary fibrosis"
10592,A8575300,C1619718,10065022,PT,"partner stress"
10639,A8575361,C1619712,10064882,PT,"procedural pain"
10641,A8575365,C0038218,10064823,PT,"asthmatic crisis"
10725,A1585246,C0853118,10005815,PT,"blood testosterone increased"
10739,A1585256,C0151539,10005851,PT,"blood urea increased"
10741,A1585252,C0853692,10005839,PT,"blood triglycerides increased"
10767,A1585225,C0497247,10005750,PT,"blood pressure increased"
10792,A1585236,C0854082,10005780,PT,"blood prolactin increased"
10795,A1585230,C0277884,10005760,PT,"blood pressure systolic increased"
10837,A28579814,C0040414,10080276,PT,"trichoglossia"
10873,A25742474,C0341439,10008953,LLT,"chronic liver disease"
10918,A25693002,C1850534,10014223,LLT,"edema generalized"
10919,A25693003,C0239340,10014232,LLT,"edema lower limb"
10925,A1286913,C0521839,10022004,PT,"influenza like illness"
10995,A25703076,C0027145,10028663,LLT,"myxedema"
11000,A25693184,C0542571,10016025,LLT,"face edema"
11008,A25703070,C0027066,10028621,LLT,"myoclonic jerks"
11014,A25742672,C0010200,10011232,LLT,"coughing"
11032,A30278152,C0013378,10043132,LLT,"taste disturbance"
11039,A25727038,C0020473,10020667,LLT,"hyperlipidemia"
11042,A25742691,C0151577,10011363,LLT,"creatinine clearance decreased"
11045,A25727032,C0020433,10020582,LLT,"hyperbilirubinemia"
11056,A25742683,C0026821,10011285,LLT,"cramp"
11081,A25727062,C0239981,10020943,LLT,"hypoalbuminemia"
11094,A25727058,C0020580,10020922,LLT,"hypesthesia"
11098,A0043953,C0010414,10011490,PT,"cryptococcosis"
11099,A25693152,C0237849,10015657,LLT,"exfoliation"
11110,A25727053,C0520539,10020805,LLT,"hypertensive episodes"
11126,A25703035,C0151786,10028350,LLT,"muscle weakness"
11128,A0043983,C0010417,10011498,PT,"cryptorchism"
11133,A20212455,C0278107,10072353,PT,"painful ejaculation"
11210,A25727029,C0424295,10020554,LLT,"hyperactive"
11222,A25727013,C0600142,10020407,LLT,"hot flashes"
11239,A25742621,C0549249,10010770,LLT,"consciousness disturbed"
11271,A25703000,C0043352,10028021,LLT,"mouth dry"
11328,A25717657,C4048328,10008229,LLT,"cervical cancer"
11347,A27875402,C0015951,10078992,LLT,"fetal resorption"
11353,A30278191,C0151577,10081991,LLT,"decreased creatinine clearance"
11394,A25717608,C0600228,10007644,LLT,"cardiopulmonary arrest"
11427,A1115052,C0042134,10046788,PT,"uterine haemorrhage"
11501,A33951481,C0221026,10086891,LLT,"x-linked agammaglobulinemia"
11542,A0126833,C0040425,10044008,PT,"tonsillitis"
11562,A1575782,C0151821,10000381,PT,"accidental overdose"
11616,A1585116,C0595877,10005557,PT,"blood glucose increased"
11637,A27346573,C0087169,10073281,LLT,"withdrawal symptom"
11661,A20212429,C0423673,10072005,PT,"spinal pain"
11748,A28579723,C4524268,10080083,LLT,"advanced lung cancer"
11770,A4897324,C0235567,10041812,PT,"sputum increased"
11811,A25742584,C0009676,10010298,LLT,"confused"
11812,A1575739,C0020540,10000358,PT,"accelerated hypertension"
11842,A1007145,C0549225,10028424,PT,"myasthenic syndrome"
11857,A25693298,C0085684,10016967,LLT,"foot drop"
11880,A25727187,C0151698,10022068,LLT,"injection site hemorrhage"
11891,A25727185,C0151605,10022058,LLT,"injection site edema"
11942,A2853990,C0948008,10061256,PT,"ischaemic stroke"
12036,A27875373,C4324297,10078784,LLT,"oropharyngeal edema"
12129,A25703110,C0427780,10028897,LLT,"negative pregnancy test"
12139,A2853905,C0237938,10061459,PT,"gastrointestinal ulcer"
12173,A25717756,C0022336,10009217,LLT,"cjd"
12187,A25703130,C0027769,10029197,LLT,"nervous"
12258,A0449247,C0032993,10036877,PT,"prolonged pregnancy"
12360,A33951379,C3494405,10086743,PT,"maternal death"
12382,A2016193,C0276141,10053160,PT,"bronchitis viral"
12389,A0126990,C0040485,10044074,PT,"torticollis"
12395,A28579644,C0235347,10004974,LLT,"black hairy tongue"
12414,A33951359,C0520679,10029983,PT,"obstructive sleep apnoea syndrome"
12439,A2016143,C1704327,10039498,HT,"bone sarcomas"
12450,A25683861,C1527311,10006121,LLT,"brain edema"
12460,A1585002,C0851353,10005329,OS,"blood and lymphatic system disorders"
12465,A25683831,C0344232,10005886,LLT,"blurred vision"
12472,A25683836,C0085595,10005901,LLT,"body odor"
12508,A1575666,C0277899,10037469,PT,"pulse absent"
12515,A2016116,C0851989,10005940,HT,"bone and joint infections"
12517,A27346488,C0029221,10031077,PT,"organic brain syndrome"
12536,A25693202,C0039070,10016169,LLT,"fainting"
12547,A0126916,C0040460,10044055,PT,"toothache"
12557,A1599612,C0272774,10016970,PT,"foot fracture"
12568,A25683888,C0079043,10006464,LLT,"bronchoconstriction"
12572,A0978072,C0152031,10023232,PT,"joint swelling"
12718,A27875289,C4076686,10078932,PT,"supine hypertension"
12723,A27875291,C0850664,10078950,PT,"disease risk factor"
12735,A0905069,C0221717,10010804,PT,"contact lens intolerance"
12752,A25727245,C0013370,10022639,LLT,"intestinal amebiasis"
12881,A2295066,C0438717,10054889,PT,"transaminases increased"
12993,A25717827,C0857334,10009886,LLT,"colicky"
13067,A0008492,C0497156,10025197,PT,"lymphadenopathy"
13087,A0008480,C0043352,10013781,PT,"dry mouth"
13099,A25717818,C0277925,10009857,LLT,"cold extremities"
13147,A0861821,C0151474,10001598,PT,"alcohol intolerance"
13192,A25683953,C0007097,10007284,LLT,"carcinoma"
13209,A0008428,C3714505,10024380,PT,"leukoderma"
13300,A1600973,C0235437,10018713,PT,"gravitational oedema"
13376,A25693356,C0016867,10017557,LLT,"furunculosis"
13446,A20922344,C2752009,10072731,PT,"white matter lesion"
13475,A25742980,C0235437,10014219,LLT,"edema dependent"
13480,A25742989,C2937350,10014323,LLT,"ejaculation abnormal"
13530,A25727308,C0434437,10023229,LLT,"joint sprain"
13655,A25742921,C0231919,10013782,LLT,"dry nose"
13705,A25717968,C0239150,10011366,LLT,"creatinine decreased"
13901,A1599402,C0853891,10045169,PT,"tumour flare"
13913,A20212765,C0151479,10002016,PT,"amylase increased"
13940,A25693444,C0018023,10018495,LLT,"goiter nodular"
14018,A0714377,C0018674,10019196,PT,"head injury"
14023,A0401469,C0008925,10009269,PT,"cleft palate"
14092,A33951823,C1306792,10038192,LLT,"red man syndrome"
14120,A1111154,C0041747,10045542,PT,"unintended pregnancy"
14144,A0419944,C0233763,10019075,PT,"hallucination, visual"
14152,A20922235,C1971295,10072840,PT,"non-tobacco user"
14176,A1595746,C0015397,10015919,OS,"eye disorders"
14190,A1595738,C0015371,10015832,PT,"extrapyramidal disorder"
14204,A0116129,C0036974,10040560,PT,"shock"
14228,A25703482,C0031036,10034462,LLT,"periarteritis nodosa"
14244,A1595701,C0014130,10014698,OS,"endocrine disorders"
14255,A25703491,C0235490,10034578,LLT,"peripheral ischemia"
14305,A0106749,C0033687,10037032,PT,"proteinuria"
14329,A25727404,C0023218,10024125,LLT,"leg cramps"
14333,A25703459,C0520893,10034218,LLT,"peeling"
14376,A0096959,C0030232,10033546,PT,"pallor"
14377,A25693549,C0018916,10019386,LLT,"hemangioma"
14389,A0033373,C0006444,10006811,PT,"bursitis"
14434,A25693583,C0151763,10019648,LLT,"hepatic damage"
14468,A25693562,C0019048,10019489,LLT,"hemoglobinuria"
14477,A25693567,C0017181,10019543,LLT,"hemorrhage gastrointestinal"
14524,A2016434,C0239062,10052250,PT,"circumoral oedema"
14529,A19382532,C3160945,10071212,PT,"vulvovaginal injury"
14559,A1605563,C0221201,10037867,PT,"rash macular"
14570,A1595679,C0851354,10013993,OS,"ear and labyrinth disorders"
14597,A1605570,C0423791,10037868,PT,"rash maculo-papular"
14608,A33951748,C0271693,10087379,LLT,"acquired generalized lipodystrophy"
14677,A28942903,C4721453,10080342,LLT,"peripheral neuropathy"
14695,A0004619,C0028259,10054107,PT,"nodule"
14752,A25693705,C0020580,10020976,LLT,"hypoesthesia"
14823,A0273023,C0154731,10018391,PT,"glossopharyngeal neuralgia"
14827,A25703532,C1527358,10034977,LLT,"phototoxicity"
14832,A25693600,C0151763,10019831,LLT,"hepatocellular damage"
14855,A25693669,C0856984,10020627,LLT,"hyperexcitation"
14858,A0669093,C0600228,10007617,PT,"cardio-respiratory arrest"
14904,A25693697,C0740394,10020907,LLT,"hyperuricemia"
14918,A33951782,C1274942,10086737,PT,"vancomycin infusion reaction"
14922,A25693684,C0037036,10020746,LLT,"hypersalivation"
14928,A25693683,C0220854,10020733,LLT,"hyperpnea"
14936,A1581087,C1956346,10011082,HG,"coronary artery disorders"
14959,A25693672,C0020488,10020680,LLT,"hypernatremia"
14999,A19382669,C3160858,10071066,PT,"posterior reversible encephalopathy syndrome"
15007,A28942997,C3495886,10072601,PT,"amyloid related imaging abnormality-microhaemorrhages and haemosiderin deposits"
15077,A25737095,C0424790,10039177,LLT,"rigors"
15113,A0004535,C0038663,10042464,PT,"suicide attempt"
